date,city,death,pm10,tempF,o3,dow,season
1987-01-01,chic,130,-7.433544304,31.5,-19.59233786,Thursday,Winter
1987-01-02,chic,150,NA,33.0,-19.03861366,Friday,Winter
1987-01-03,chic,101,-1.550923086,33.0,-20.21733786,Saturday,Winter
1987-01-04,chic,135,5.5664556962,29.0,-19.6756712,Sunday,Winter
1987-01-05,chic,126,NA,32.0,-19.21733786,Monday,Winter
1987-01-06,chic,130,6.5664556962,40.0,-17.63400453,Tuesday,Winter
1987-01-07,chic,129,-0.433544304,34.5,-15.37439797,Wednesday,Winter
1987-01-08,chic,109,-5.433544304,29.0,-12.17052725,Thursday,Winter
1987-01-09,chic,125,-2.040847239,26.5,-20.09233786,Friday,Winter
1987-01-10,chic,153,NA,32.5,-18.58028032,Saturday,Winter
1987-01-11,chic,124,-19.4335443,29.5,-5.712193917,Sunday,Winter
1987-01-12,chic,111,-15.4335443,34.5,-15.62886058,Monday,Winter
1987-01-13,chic,104,11.566455696,34.0,-17.04552725,Tuesday,Winter
1987-01-14,chic,118,1.5664556962,37.5,-18.62886058,Wednesday,Winter
1987-01-15,chic,109,-7.452417017,32.5,-18.71219392,Thursday,Winter
1987-01-16,chic,125,-22.4335443,25.0,-15.00386058,Friday,Winter
1987-01-17,chic,128,NA,27.0,-17.37886058,Saturday,Winter
1987-01-18,chic,141,-2.433544304,17.5,-17.00386058,Sunday,Winter
1987-01-19,chic,130,-9.433544304,23.0,-7.63400453,Monday,Winter
1987-01-20,chic,133,-3.433544304,20.5,-18.41361366,Tuesday,Winter
1987-01-21,chic,115,-2.401652863,22.0,-16.9933238,Wednesday,Winter
1987-01-22,chic,121,10.566455696,19.5,-12.62886058,Thursday,Winter
1987-01-23,chic,107,13.566455696,2.5,-7.925671197,Friday,Winter
1987-01-24,chic,123,-3.433544304,2.0,-12.25900453,Saturday,Winter
1987-01-25,chic,107,NA,9.5,-15.79552725,Sunday,Winter
1987-01-26,chic,116,29.566455696,16.0,-18.75900453,Monday,Winter
1987-01-27,chic,130,1.9285282263,17.5,-19.83719392,Tuesday,Winter
1987-01-28,chic,114,5.5664556962,29.5,-16.71733786,Wednesday,Winter
1987-01-29,chic,123,-6.433544304,29.5,-20.06825452,Thursday,Winter
1987-01-30,chic,103,17.566455696,32.5,-14.58719392,Friday,Winter
1987-01-31,chic,115,-5.433544304,27.5,-15.24694699,Saturday,Winter
1987-02-01,chic,127,NA,41.0,-17.58028032,Sunday,Winter
1987-02-02,chic,131,5.838868463,36.5,-19.95528032,Monday,Winter
1987-02-03,chic,112,17.566455696,34.0,-15.17052725,Tuesday,Winter
1987-02-04,chic,126,-3.070220428,31.5,-13.83373712,Wednesday,Winter
1987-02-05,chic,127,28.566455696,29.5,-19.16707045,Thursday,Winter
1987-02-06,chic,103,21.566455696,37.0,-18.82377335,Friday,Winter
1987-02-07,chic,128,2.5664556962,40.5,-19.22957045,Saturday,Winter
1987-02-08,chic,133,-17.14958498,32.5,0.49959621320000003,Sunday,Winter
1987-02-09,chic,115,0.5664556962,24.5,-15.31290379,Monday,Winter
1987-02-10,chic,124,-5.433544304,35.0,-16.50040379,Tuesday,Winter
1987-02-11,chic,117,41.566455696,39.5,-16.88652039,Wednesday,Winter
1987-02-12,chic,116,42.566455696,34.0,-17.47957045,Thursday,Winter
1987-02-13,chic,128,-2.433544304,34.5,-14.24225161,Friday,Winter
1987-02-14,chic,119,-11.91746311,31.5,-13.50040379,Saturday,Winter
1987-02-15,chic,115,-29.4335443,23.5,3.6662628798,Sunday,Winter
1987-02-16,chic,107,-27.4335443,24.0,-0.250403787,Monday,Winter
1987-02-17,chic,111,-18.4335443,31.5,0.49959621320000003,Tuesday,Winter
1987-02-18,chic,116,-14.4335443,31.5,-0.267613932,Wednesday,Winter
1987-02-19,chic,115,7.5664556962,34.0,-8.915258859,Thursday,Winter
1987-02-20,chic,124,33.099694846,32.5,-16.20873712,Friday,Winter
1987-02-21,chic,119,17.566455696,38.0,-20.85457045,Saturday,Winter
1987-02-22,chic,126,4.5664556962,35.5,-13.79207045,Sunday,Winter
1987-02-23,chic,147,5.5664556962,35.5,-11.35457045,Monday,Winter
1987-02-24,chic,118,6.5664556962,31.5,-11.54207045,Tuesday,Winter
1987-02-25,chic,138,6.5664556962,34.5,-7.250403787,Wednesday,Winter
1987-02-26,chic,119,-7.185191079,36.0,-8.354570453,Thursday,Winter
1987-02-27,chic,100,14.566455696,39.5,-10.06290379,Friday,Winter
1987-02-28,chic,119,-10.4335443,40.0,-17.41707045,Saturday,Winter
1987-03-01,chic,123,-26.4335443,39.0,-9.067070453,Sunday,Winter
1987-03-02,chic,125,-5.433544304,41.0,-3.625403787,Monday,Winter
1987-03-03,chic,124,-9.433544304,36.5,-4.70873712,Tuesday,Winter
1987-03-04,chic,113,4.1020099041,38.0,-18.85457045,Wednesday,Winter
1987-03-05,chic,125,-11.4335443,44.0,-10.64623712,Thursday,Winter
1987-03-06,chic,108,34.566455696,48.5,-15.19333857,Friday,Winter
1987-03-07,chic,114,7.5664556962,59.5,1.1454295465,Saturday,Winter
1987-03-08,chic,109,19.566455696,54.5,7.0204295465,Sunday,Winter
1987-03-09,chic,126,-16.4335443,31.0,5.3954295465,Monday,Winter
1987-03-10,chic,113,-16.84910079,25.5,3.9370962132,Tuesday,Winter
1987-03-11,chic,112,-3.433544304,28.5,-4.667070453,Wednesday,Winter
1987-03-12,chic,125,30.566455696,33.5,-3.979570453,Thursday,Winter
1987-03-13,chic,128,5.5664556962,34.0,-1.95873712,Friday,Winter
1987-03-14,chic,106,7.5664556962,37.0,-6.479570453,Saturday,Winter
1987-03-15,chic,113,NA,35.0,12.457929547,Sunday,Winter
1987-03-16,chic,117,-9.508417661,37.5,11.934378822,Monday,Winter
1987-03-17,chic,127,13.566455696,38.5,3.3745962132,Tuesday,Winter
1987-03-18,chic,120,21.566455696,39.5,-4.128860583,Wednesday,Winter
1987-03-19,chic,121,-9.433544304,41.5,7.2376914513,Thursday,Winter
1987-03-20,chic,127,-13.4335443,43.0,10.544719676,Friday,Winter
1987-03-21,chic,120,-1.433544304,43.5,12.12805301,Saturday,Winter
1987-03-22,chic,100,1.4420726138,48.0,11.586386343,Sunday,Winter
1987-03-23,chic,125,28.566455696,53.5,7.0162628798,Monday,Winter
1987-03-24,chic,132,16.566455696,57.5,1.1870962132,Tuesday,Winter
1987-03-25,chic,134,-27.4335443,45.0,-9.562903787,Wednesday,Winter
1987-03-26,chic,107,1.5664556962,45.0,-9.320479544,Thursday,Winter
1987-03-27,chic,102,5.5664556962,43.0,-7.812903787,Friday,Winter
1987-03-28,chic,128,-2.762280416,46.0,-4.167070453,Saturday,Winter
1987-03-29,chic,101,-4.433544304,39.5,-3.465681565,Sunday,Winter
1987-03-30,chic,125,-14.4335443,29.0,5.9995962132,Monday,Winter
1987-03-31,chic,106,1.5664556962,30.0,0.2803365934,Tuesday,Winter
1987-04-01,chic,119,-5.433544304,41.5,-2.362320777,Wednesday,Spring
1987-04-02,chic,91,2.5664556962,29.5,-1.510382249,Thursday,Spring
1987-04-03,chic,120,-15.38019522,28.0,-6.857532508,Friday,Spring
1987-04-04,chic,123,-15.4335443,35.5,4.7688879466,Saturday,Spring
1987-04-05,chic,108,-23.4335443,43.5,12.278000323,Sunday,Spring
1987-04-06,chic,117,-22.4335443,50.0,8.1465886969,Monday,Spring
1987-04-07,chic,134,-13.4335443,49.5,2.1810760575,Tuesday,Spring
1987-04-08,chic,120,-22.4335443,40.0,-2.043612053,Wednesday,Spring
1987-04-09,chic,120,41.959032312,50.0,-7.918186175,Thursday,Spring
1987-04-10,chic,110,27.566455696,59.5,-1.5238276609999999,Friday,Spring
1987-04-11,chic,111,-17.4335443,51.0,5.5066449244,Saturday,Spring
1987-04-12,chic,129,-4.433544304,49.5,2.4124143361,Sunday,Spring
1987-04-13,chic,93,5.5664556962,48.0,-5.445075835,Monday,Spring
1987-04-14,chic,140,-8.433544304,52.5,-9.897456787,Tuesday,Spring
1987-04-15,chic,106,-4.99446487,51.5,-6.153061854,Wednesday,Spring
1987-04-16,chic,110,-15.13186649,54.0,-1.164966616,Thursday,Spring
1987-04-17,chic,115,1.5664556962,57.5,-4.057823759,Friday,Spring
1987-04-18,chic,106,64.566455696,61.5,7.7606835173,Saturday,Spring
1987-04-19,chic,105,NA,64.0,8.9868739935,Sunday,Spring
1987-04-20,chic,120,13.566455696,71.0,17.80330951,Monday,Spring
1987-04-21,chic,97,0.1250241083,56.0,-2.985590609,Tuesday,Spring
1987-04-22,chic,136,-13.4335443,47.0,-14.36579894,Wednesday,Spring
1987-04-23,chic,112,-15.4335443,52.0,-13.37712141,Thursday,Spring
1987-04-24,chic,108,-25.4335443,49.0,4.2539927242,Friday,Spring
1987-04-25,chic,130,-11.4335443,51.0,3.4932474511,Saturday,Spring
1987-04-26,chic,102,16.566455696,57.0,8.8295304221,Sunday,Spring
1987-04-27,chic,107,-0.260716437,56.5,12.300035717,Monday,Spring
1987-04-28,chic,118,30.566455696,53.5,-1.234668577,Tuesday,Spring
1987-04-29,chic,110,19.566455696,64.5,10.813233492,Wednesday,Spring
1987-04-30,chic,101,-22.4335443,46.0,11.555027117,Thursday,Spring
1987-05-01,chic,117,24.566455696,53.5,-3.667997347,Friday,Spring
1987-05-02,chic,123,-11.4335443,53.0,1.4145309397,Saturday,Spring
1987-05-03,chic,110,-16.38195511,45.0,3.9222862771,Sunday,Spring
1987-05-04,chic,108,-15.4335443,48.0,7.3210527579,Monday,Spring
1987-05-05,chic,134,18.566455696,50.5,-0.543931216,Tuesday,Spring
1987-05-06,chic,131,NA,58.0,8.0382851449,Wednesday,Spring
1987-05-07,chic,126,-0.433544304,59.5,6.2914401604,Thursday,Spring
1987-05-08,chic,108,12.566455696,59.0,-6.644286457,Friday,Spring
1987-05-09,chic,112,20.754675433,69.5,19.72321624,Saturday,Spring
1987-05-10,chic,116,NA,74.5,20.146585987,Sunday,Spring
1987-05-11,chic,131,39.566455696,71.0,21.448854494,Monday,Spring
1987-05-12,chic,123,-29.4335443,51.5,1.9091937836,Tuesday,Spring
1987-05-13,chic,104,-21.4335443,59.0,3.1510866922,Wednesday,Spring
1987-05-14,chic,123,NA,69.0,15.686057948,Thursday,Spring
1987-05-15,chic,105,-14.91560326,56.5,0.6956971994,Friday,Spring
1987-05-16,chic,108,5.5664556962,62.5,8.4281302499,Saturday,Spring
1987-05-17,chic,123,21.566455696,70.5,27.05231321,Sunday,Spring
1987-05-18,chic,134,NA,66.5,1.6998713534,Monday,Spring
1987-05-19,chic,101,0.5664556962,67.5,2.9390341381,Tuesday,Spring
1987-05-20,chic,114,5.5664556962,66.5,-8.082201351,Wednesday,Spring
1987-05-21,chic,125,8.1586013876,74.0,9.9690214748,Thursday,Spring
1987-05-22,chic,111,NA,61.5,-11.40728832,Friday,Spring
1987-05-23,chic,107,-28.4335443,51.0,-12.85638613,Saturday,Spring
1987-05-24,chic,105,NA,50.5,-4.205070387,Sunday,Spring
1987-05-25,chic,115,8.5664556962,57.5,-10.4089537,Monday,Spring
1987-05-26,chic,106,-13.4335443,73.0,6.1463720046,Tuesday,Spring
1987-05-27,chic,113,5.2256011578,78.5,7.3787662809,Wednesday,Spring
1987-05-28,chic,104,7.5664556962,78.5,5.7382730332,Thursday,Spring
1987-05-29,chic,106,8.5664556962,78.5,2.9308496142,Friday,Spring
1987-05-30,chic,115,-6.433544304,76.0,-1.450136134,Saturday,Spring
1987-05-31,chic,102,-9.433544304,76.0,8.2187626756,Sunday,Spring
1987-06-01,chic,112,-11.4335443,74.5,10.977811399,Monday,Spring
1987-06-02,chic,111,-3.076225877,72.0,-5.002219467,Tuesday,Spring
1987-06-03,chic,120,0.5664556962,69.0,-0.37572121000000003,Wednesday,Spring
1987-06-04,chic,103,3.5664556962,63.0,-2.916312847,Thursday,Spring
1987-06-05,chic,98,19.566455696,70.0,9.2588843699,Friday,Spring
1987-06-06,chic,101,15.566455696,71.0,19.942356923,Saturday,Spring
1987-06-07,chic,102,4.5664556962,77.5,27.051731923,Sunday,Spring
1987-06-08,chic,143,12.991934721,74.5,25.487873228,Monday,Spring
1987-06-09,chic,88,-26.4335443,57.5,6.2818459851,Tuesday,Spring
1987-06-10,chic,106,8.5664556962,61.0,5.3568006952,Wednesday,Spring
1987-06-11,chic,96,4.5664556962,72.5,4.4259743475,Thursday,Spring
1987-06-12,chic,117,-0.433544304,80.0,5.4687581775,Friday,Spring
1987-06-13,chic,97,31.566455696,77.0,16.211277117,Saturday,Spring
1987-06-14,chic,146,6.1756153283,83.0,22.045659391,Sunday,Spring
1987-06-15,chic,120,-13.4335443,73.5,9.8138586386,Monday,Spring
1987-06-16,chic,109,4.5664556962,75.0,9.3032910058,Tuesday,Spring
1987-06-17,chic,112,29.566455696,77.0,31.134903507,Wednesday,Spring
1987-06-18,chic,132,48.566455696,80.5,39.597714438,Thursday,Spring
1987-06-19,chic,106,38.566455696,77.5,24.011598046,Friday,Spring
1987-06-20,chic,122,22.842281995,77.0,22.515986978,Saturday,Spring
1987-06-21,chic,112,0.5664556962,76.0,9.5365823814,Sunday,Spring
1987-06-22,chic,117,10.566455696,67.0,1.7350242581,Monday,Spring
1987-06-23,chic,100,7.5664556962,72.5,9.0556227264,Tuesday,Spring
1987-06-24,chic,108,21.566455696,76.0,25.939945311,Wednesday,Spring
1987-06-25,chic,126,11.566455696,70.5,9.9251179392,Thursday,Spring
1987-06-26,chic,105,-6.793351804,69.0,-3.047956188,Friday,Spring
1987-06-27,chic,111,-5.433544304,64.5,-1.829206188,Saturday,Spring
1987-06-28,chic,122,-7.433544304,72.0,8.0073934392,Sunday,Spring
1987-06-29,chic,108,1.5664556962,72.5,4.1301960173,Monday,Spring
1987-06-30,chic,106,1.5664556962,70.5,-4.671513022,Tuesday,Spring
1987-07-01,chic,104,-19.4335443,68.5,9.5449296132,Wednesday,Summer
1987-07-02,chic,120,7.3026900576,71.0,13.051024857,Thursday,Summer
1987-07-03,chic,112,6.5664556962,77.5,19.409611323,Friday,Summer
1987-07-04,chic,101,-17.4335443,72.5,8.7245590165,Saturday,Summer
1987-07-05,chic,114,NA,72.5,-0.534587481,Sunday,Summer
1987-07-06,chic,113,-8.398734177,80.0,8.1282610968,Monday,Summer
1987-07-07,chic,119,NA,80.0,10.632395613,Tuesday,Summer
1987-07-08,chic,126,1.7904072017,80.5,7.7553807765,Wednesday,Summer
1987-07-09,chic,108,-10.53312303,80.5,1.7149664231,Thursday,Summer
1987-07-10,chic,95,-8.694006309,80.0,-0.063206854,Friday,Summer
1987-07-11,chic,125,37.252365931,80.0,5.3812838924,Saturday,Summer
1987-07-12,chic,119,5.2523659306,79.5,6.0037524729,Sunday,Summer
1987-07-13,chic,77,-8.80126183,64.5,-13.48217604,Monday,Summer
1987-07-14,chic,113,-14.40100071,67.0,-1.576351008,Tuesday,Summer
1987-07-15,chic,110,-24.84858044,63.0,-0.598751402,Wednesday,Summer
1987-07-16,chic,108,-15.13656925,65.5,8.7241747944,Thursday,Summer
1987-07-17,chic,102,-2.845425868,78.0,18.944045015,Friday,Summer
1987-07-18,chic,110,9.0977917981,79.5,24.115908639,Saturday,Summer
1987-07-19,chic,129,30.147798742,84.5,23.340185891,Sunday,Summer
1987-07-20,chic,140,28.807469567,81.5,17.339816729,Monday,Summer
1987-07-21,chic,105,16.116719243,81.0,34.970011376,Tuesday,Summer
1987-07-22,chic,110,56.154574132,80.5,21.523797164,Wednesday,Summer
1987-07-23,chic,121,75.1829653,82.0,35.090240793,Thursday,Summer
1987-07-24,chic,110,38.873522964,83.0,11.631720204,Friday,Summer
1987-07-25,chic,115,11.356466877,84.5,19.604238607,Saturday,Summer
1987-07-26,chic,105,-5.700178793,78.5,3.757057543,Sunday,Summer
1987-07-27,chic,112,-9.581761006,71.0,-8.330725369,Monday,Summer
1987-07-28,chic,109,-3.004237288,72.5,-3.750375272,Tuesday,Summer
1987-07-29,chic,125,-16.5408805,78.0,0.8867512672,Wednesday,Summer
1987-07-30,chic,92,33.468553459,79.5,26.611237672,Thursday,Summer
1987-07-31,chic,110,6.4622641509,80.5,14.647055196,Friday,Summer
1987-08-01,chic,113,20.944949561,87.0,15.679003639,Saturday,Summer
1987-08-02,chic,115,4.5566037736,86.0,22.885333446,Sunday,Summer
1987-08-03,chic,137,12.645768025,83.0,6.5093456549,Monday,Summer
1987-08-04,chic,112,-20.28840125,75.0,-2.318469738,Tuesday,Summer
1987-08-05,chic,126,-26.20689655,72.0,-3.02427102,Wednesday,Summer
1987-08-06,chic,111,8.7586206897,72.0,5.7942548601,Thursday,Summer
1987-08-07,chic,95,14.785080976,79.5,21.452775411,Friday,Summer
1987-08-08,chic,113,14.937304075,73.5,-0.331578712,Saturday,Summer
1987-08-09,chic,107,-12.02507837,72.5,2.633332411,Sunday,Summer
1987-08-10,chic,96,-17.03125,71.0,6.1986860123,Monday,Summer
1987-08-11,chic,98,-0.040625,74.5,10.103830372,Tuesday,Summer
1987-08-12,chic,83,38.959375,76.0,13.260304731,Wednesday,Summer
1987-08-13,chic,121,28.637180863,75.5,12.189162539,Thursday,Summer
1987-08-14,chic,107,9.8738877119,74.0,0.4103550357,Friday,Summer
1987-08-15,chic,115,0.246875,79.5,9.2114108474,Saturday,Summer
1987-08-16,chic,125,1.8361625362,80.0,8.1101928987,Sunday,Summer
1987-08-17,chic,120,-1.889937107,73.5,2.3424276746,Monday,Summer
1987-08-18,chic,102,7.0471698113,69.5,-9.794782739,Tuesday,Summer
1987-08-19,chic,102,-5.444647182,70.0,-4.864471653,Wednesday,Summer
1987-08-20,chic,118,7.820754717,70.0,7.0091828179,Thursday,Summer
1987-08-21,chic,118,1.7327044025,76.0,13.846643344,Friday,Summer
1987-08-22,chic,107,-9.116352201,71.5,0.0397500994,Saturday,Summer
1987-08-23,chic,107,-16.99371069,63.0,-6.173021529,Sunday,Summer
1987-08-24,chic,133,2.0786163522,61.5,-11.45428555,Monday,Summer
1987-08-25,chic,107,0.2881169387,59.0,-16.88560885,Tuesday,Summer
1987-08-26,chic,96,9.0408805031,62.0,-15.45932418,Wednesday,Summer
1987-08-27,chic,103,-20.93690852,63.5,-9.655703641,Thursday,Summer
1987-08-28,chic,117,-8.952681388,63.5,-1.556793364,Friday,Summer
1987-08-29,chic,100,NA,65.5,-5.523201722,Saturday,Summer
1987-08-30,chic,125,-5.927444795,72.0,-0.994040173,Sunday,Summer
1987-08-31,chic,113,-10.8712207,62.0,-8.058479115,Monday,Summer
1987-09-01,chic,112,-3.791155509,64.0,-5.86826597,Tuesday,Summer
1987-09-02,chic,107,-23.95583596,61.5,-1.887532748,Wednesday,Summer
1987-09-03,chic,122,-16.88328076,60.5,-3.161756935,Thursday,Summer
1987-09-04,chic,115,NA,69.0,7.9616508483,Friday,Summer
1987-09-05,chic,104,NA,73.0,22.116819903,Saturday,Summer
1987-09-06,chic,118,26.964005022,75.0,14.21073889,Sunday,Summer
1987-09-07,chic,137,NA,70.5,-0.807604842,Monday,Summer
1987-09-08,chic,117,NA,72.0,1.7252150422,Tuesday,Summer
1987-09-09,chic,104,NA,68.5,-4.913112148,Wednesday,Summer
1987-09-10,chic,105,NA,67.5,2.8835600504,Thursday,Summer
1987-09-11,chic,109,NA,69.0,-1.258264194,Friday,Summer
1987-09-12,chic,121,-5.804613936,68.0,-8.48670365,Saturday,Summer
1987-09-13,chic,108,NA,59.0,-11.9538776,Sunday,Summer
1987-09-14,chic,114,NA,61.5,-5.021443953,Monday,Summer
1987-09-15,chic,108,NA,72.0,-8.214767323,Tuesday,Summer
1987-09-16,chic,111,-7.531847134,69.0,-13.36565739,Wednesday,Summer
1987-09-17,chic,110,-10.4600639,67.5,-10.38120942,Thursday,Summer
1987-09-18,chic,107,-10.04063641,63.5,-16.96434275,Friday,Summer
1987-09-19,chic,107,NA,61.0,-11.60406599,Saturday,Summer
1987-09-20,chic,108,NA,57.0,-16.68984732,Sunday,Summer
1987-09-21,chic,139,-11.36421725,55.5,-19.06051235,Monday,Summer
1987-09-22,chic,130,NA,61.0,-16.48870749,Tuesday,Summer
1987-09-23,chic,111,-2.428115016,63.0,-10.63773944,Wednesday,Summer
1987-09-24,chic,112,-12.64085518,59.5,-7.071841187,Thursday,Summer
1987-09-25,chic,106,14.50798722,56.5,-10.27424768,Friday,Summer
1987-09-26,chic,127,1.4696485623,65.0,-1.026682325,Saturday,Summer
1987-09-27,chic,110,8.3865814696,75.5,4.1802446264,Sunday,Summer
1987-09-28,chic,120,16.42172524,69.0,6.1891157023,Monday,Summer
1987-09-29,chic,115,-6.584664537,61.5,-11.30729279,Tuesday,Summer
1987-09-30,chic,120,-10.32498758,55.0,-12.63473032,Wednesday,Summer
1987-10-01,chic,117,3.4249201278,55.5,-6.973387713,Thursday,Autumn
1987-10-02,chic,128,11.469648562,47.0,-8.643574969,Friday,Autumn
1987-10-03,chic,115,11.408945687,42.5,-8.274800394,Saturday,Autumn
1987-10-04,chic,123,9.428115016,52.0,-4.758548138,Sunday,Autumn
1987-10-05,chic,118,7.3557692308,60.0,-8.918846987,Monday,Autumn
1987-10-06,chic,137,-13.37295927,45.5,-16.41756666,Tuesday,Autumn
1987-10-07,chic,134,-4.685897436,39.5,-10.33006812,Wednesday,Autumn
1987-10-08,chic,134,0.2724358974,41.5,-13.48868128,Thursday,Autumn
1987-10-09,chic,115,-2.480769231,53.5,-11.92913279,Friday,Autumn
1987-10-10,chic,103,-12.5224359,42.5,-14.84298798,Saturday,Autumn
1987-10-11,chic,106,-8.557692308,39.0,-9.051048202,Sunday,Autumn
1987-10-12,chic,123,6.3840101727,42.5,-11.33333357,Monday,Autumn
1987-10-13,chic,116,NA,49.5,-8.287920671,Tuesday,Autumn
1987-10-14,chic,120,0.4662379421,55.5,-12.57405447,Wednesday,Autumn
1987-10-15,chic,130,11.488745981,63.0,1.1687096205,Thursday,Autumn
1987-10-16,chic,111,17.498392283,62.5,5.1936729402,Friday,Autumn
1987-10-17,chic,122,-21.50160772,48.0,-14.64426127,Saturday,Autumn
1987-10-18,chic,121,-9.337976526,53.5,-8.092475429,Sunday,Autumn
1987-10-19,chic,117,-29.40705128,49.5,-4.991634371,Monday,Autumn
1987-10-20,chic,111,-16.3974359,45.5,-8.284664188,Tuesday,Autumn
1987-10-21,chic,114,-18.96898088,37.0,-17.38382911,Wednesday,Autumn
1987-10-22,chic,104,-15.45192308,43.0,-17.41002499,Thursday,Autumn
1987-10-23,chic,98,9.4679487179,39.0,-15.4983189,Friday,Autumn
1987-10-24,chic,139,-7.402627964,38.5,-16.13394311,Saturday,Autumn
1987-10-25,chic,126,NA,42.0,-12.930430490000001,Sunday,Autumn
1987-10-26,chic,115,-7.58974359,44.5,-18.90453609,Monday,Autumn
1987-10-27,chic,119,-9.53525641,44.5,-14.18039108,Tuesday,Autumn
1987-10-28,chic,114,-9.400641026,38.5,-18.89322352,Wednesday,Autumn
1987-10-29,chic,123,7.6891025641,44.5,-16.48678821,Thursday,Autumn
1987-10-30,chic,125,16.464358261,54.5,-6.744181889,Friday,Autumn
1987-10-31,chic,116,19.701923077,52.0,-10.81943261,Saturday,Autumn
1987-11-01,chic,118,-10.30769231,58.0,-13.87486459,Sunday,Autumn
1987-11-02,chic,138,5.5961538462,64.0,-11.81091426,Monday,Autumn
1987-11-03,chic,98,NA,66.0,7.2720001797,Tuesday,Autumn
1987-11-04,chic,114,6.5641025641,56.5,-7.116385483,Wednesday,Autumn
1987-11-05,chic,117,-10.67042281,40.5,-5.710478889,Thursday,Autumn
1987-11-06,chic,108,3.4757946607,39.5,-16.48801612,Friday,Autumn
1987-11-07,chic,109,5.3674121406,45.5,-19.97389892,Saturday,Autumn
1987-11-08,chic,121,24.444089457,49.5,-2.200570232,Sunday,Autumn
1987-11-09,chic,109,-23.49363057,35.0,0.5956942738,Monday,Autumn
1987-11-10,chic,127,-29.35031847,34.0,1.5387695978,Tuesday,Autumn
1987-11-11,chic,143,-5.955834876,35.0,-17.12772239,Wednesday,Autumn
1987-11-12,chic,118,5.3885350318,43.5,-16.5474236,Thursday,Autumn
1987-11-13,chic,113,13.425396825,48.5,-19.61838532,Friday,Autumn
1987-11-14,chic,125,-23.6984127,47.0,-14.4255982,Saturday,Autumn
1987-11-15,chic,108,9.2349206349,50.5,-6.359815965,Sunday,Autumn
1987-11-16,chic,100,-7.697452229,56.0,-8.458831533,Monday,Autumn
1987-11-17,chic,112,-17.87098377,50.0,-12.63399243,Tuesday,Autumn
1987-11-18,chic,106,NA,38.0,-16.12895217,Wednesday,Autumn
1987-11-19,chic,128,-13.7843254,37.5,-15.36256322,Thursday,Autumn
1987-11-20,chic,128,-7.647619048,27.5,-1.201928563,Friday,Autumn
1987-11-21,chic,121,-14.67405063,25.5,-15.10925855,Saturday,Autumn
1987-11-22,chic,128,NA,42.0,-14.67942797,Sunday,Autumn
1987-11-23,chic,127,-6.235373409,43.5,-14.59282564,Monday,Autumn
1987-11-24,chic,113,10.306962025,39.5,-17.60536661,Tuesday,Autumn
1987-11-25,chic,117,-31.6835443,40.0,-13.35055892,Wednesday,Autumn
1987-11-26,chic,114,-26.71608833,40.0,-2.882495731,Thursday,Autumn
1987-11-27,chic,117,NA,40.5,-15.29801771,Friday,Autumn
1987-11-28,chic,115,NA,47.0,-19.79452953,Saturday,Autumn
1987-11-29,chic,103,-24.68590576,39.0,-21.13324676,Sunday,Autumn
1987-11-30,chic,101,NA,37.0,-20.14021907,Monday,Autumn
1987-12-01,chic,134,-14.25396825,32.0,-13.31928675,Tuesday,Autumn
1987-12-02,chic,93,-19.59047619,30.0,-16.15761002,Wednesday,Autumn
1987-12-03,chic,116,-12.62222222,30.5,-20.42253779,Thursday,Autumn
1987-12-04,chic,128,-7.568253968,27.0,-14.5397013,Friday,Autumn
1987-12-05,chic,109,-11.94629478,27.0,-12.95353895,Saturday,Autumn
