date,city,death,pm10,tempF,o3,dow,season
1987-01-01,denv,22,5.55,25.5,-13.61694479,Thursday,Winter
1987-01-02,denv,22,29.327868852,32.0,-17.61632839,Friday,Winter
1987-01-03,denv,21,0.9650030148,35.5,-12.04650964,Saturday,Winter
1987-01-04,denv,19,-10.82868526,46.75,-9.714167012,Sunday,Winter
1987-01-05,denv,22,9.3606573705,41.75,-10.25902925,Monday,Winter
1987-01-06,denv,19,-8.672131148,30.75,-14.24194479,Tuesday,Winter
1987-01-07,denv,19,-5.828685259,29.75,-16.93638923,Wednesday,Winter
1987-01-08,denv,23,-8.828685259,23.5,-17.2030559,Thursday,Winter
1987-01-09,denv,21,60.264363958,29.0,-14.39430749,Friday,Winter
1987-01-10,denv,15,19.55,32.0,-13.21355061,Saturday,Winter
1987-01-11,denv,19,-1.672131148,42.0,-15.29688394,Sunday,Winter
1987-01-12,denv,10,31.938934426,48.75,-16.81077283,Monday,Winter
1987-01-13,denv,24,64.360657371,44.5,-17.29813944,Tuesday,Winter
1987-01-14,denv,22,-1.828685259,29.0,-15.728695,Wednesday,Winter
1987-01-15,denv,16,-3.137715082,15.5,-12.74132839,Thursday,Winter
1987-01-16,denv,21,-1.828685259,7.5,-14.03361146,Friday,Winter
1987-01-17,denv,22,0.171314741,8.0,-12.28425055,Saturday,Winter
1987-01-18,denv,15,-7.139342629,26.5,-8.977439497,Sunday,Winter
1987-01-19,denv,21,-22.63934263,19.5,-8.11694479,Monday,Winter
1987-01-20,denv,22,-5.828685259,14.75,-14.54688394,Tuesday,Winter
1987-01-21,denv,20,0.2567403428,21.5,-5.630833679,Wednesday,Winter
1987-01-22,denv,25,37.171314741,24.25,-9.047500346,Thursday,Winter
1987-01-23,denv,24,71.16091954,34.75,-16.3524395,Friday,Winter
1987-01-24,denv,19,21.171314741,37.75,-10.81138923,Saturday,Winter
1987-01-25,denv,17,-9.828685259,40.25,-1.29813944,Sunday,Winter
1987-01-26,denv,21,31.171314741,43.5,-11.38083368,Monday,Winter
1987-01-27,denv,13,25.92565379,48.0,-11.7274395,Tuesday,Winter
1987-01-28,denv,17,99.171314741,47.0,-8.816811478,Wednesday,Winter
1987-01-29,denv,15,51.171314741,40.25,-2.86694479,Thursday,Winter
1987-01-30,denv,18,62.171314741,39.25,-15.42188394,Friday,Winter
1987-01-31,denv,17,19.360657371,41.75,-14.82466172,Saturday,Winter
1987-02-01,denv,15,-0.828685259,43.75,-9.36694479,Sunday,Winter
1987-02-02,denv,22,26.523970289,51.5,-3.92567182,Monday,Winter
1987-02-03,denv,15,31.171314741,40.25,-17.06202833,Tuesday,Winter
1987-02-04,denv,15,15.171314741,33.25,-19.61758388,Wednesday,Winter
1987-02-05,denv,11,22.171314741,34.0,-14.27250035,Thursday,Winter
1987-02-06,denv,11,34.171314741,41.0,-12.46355061,Friday,Winter
1987-02-07,denv,15,-7.828685259,52.75,-11.42668661,Saturday,Winter
1987-02-08,denv,8,10.190636955,40.0,-12.64536166,Sunday,Winter
1987-02-09,denv,19,17.171314741,46.75,-13.02421213,Monday,Winter
1987-02-10,denv,17,32.171314741,44.75,-16.15762076,Tuesday,Winter
1987-02-11,denv,18,4.1661171406,46.75,-11.18577283,Wednesday,Winter
1987-02-12,denv,21,25.171314741,46.75,-13.17188394,Thursday,Winter
1987-02-13,denv,22,10.171314741,45.5,-11.61694479,Friday,Winter
1987-02-14,denv,15,-10.12999598,38.25,-12.65861146,Saturday,Winter
1987-02-15,denv,12,-13.82868526,31.75,-6.880217275,Sunday,Winter
1987-02-16,denv,17,-20.82868526,33.0,-9.769722568,Monday,Winter
1987-02-17,denv,19,0.6661171406,35.5,-11.28894743,Tuesday,Winter
1987-02-18,denv,21,-11.82868526,31.75,-9.74194479,Wednesday,Winter
1987-02-19,denv,22,-17.82868526,25.5,-9.32214565,Thursday,Winter
1987-02-20,denv,17,6.5663641729,28.25,-10.09297898,Friday,Winter
