date,city,death,pm10,tempF,o3,dow,season
1987-01-01,det,48,-11.02112676,35.0,-16.33143617,Thursday,Winter
1987-01-02,det,60,NA,32.0,-15.74038551,Friday,Winter
1987-01-03,det,59,-20.98482809,31.0,-11.23803551,Saturday,Winter
1987-01-04,det,50,-6.86440678,30.5,-13.57416051,Sunday,Winter
1987-01-05,det,61,12.13559322,30.5,-12.04506051,Monday,Winter
1987-01-06,det,59,33.13559322,37.0,-15.61296051,Tuesday,Winter
1987-01-07,det,44,-13.02112676,39.0,-10.55843551,Wednesday,Winter
1987-01-08,det,63,-9.86440678,31.5,-9.956586832,Thursday,Winter
1987-01-09,det,49,-5.94276677,30.0,-15.06078551,Friday,Winter
1987-01-10,det,47,-0.86440678,32.0,-16.20761051,Saturday,Winter
1987-01-11,det,57,-25.02112676,30.5,-3.401398014,Sunday,Winter
1987-01-12,det,42,NA,32.0,-9.708935514,Monday,Winter
1987-01-13,det,52,16.13559322,29.0,-16.20761051,Tuesday,Winter
1987-01-14,det,39,55.13559322,38.0,-15.40058551,Wednesday,Winter
1987-01-15,det,50,-11.4064681,33.5,-6.71052488,Thursday,Winter
1987-01-16,det,47,-19.86440678,25.0,-5.33008738,Friday,Winter
1987-01-17,det,55,-24.02112676,25.0,-7.344374332,Saturday,Winter
1987-01-18,det,58,-25.86440678,28.5,-9.95986238,Sunday,Winter
1987-01-19,det,64,-18.02112676,24.5,-4.250898014,Monday,Winter
1987-01-20,det,62,NA,21.5,-7.462818356,Tuesday,Winter
1987-01-21,det,55,-5.080738819,18.0,-8.241586447,Wednesday,Winter
1987-01-22,det,42,5.1355932203,26.0,-10.3122427,Thursday,Winter
1987-01-23,det,56,-16.02112676,10.5,1.7612760531,Friday,Winter
1987-01-24,det,58,3.1355932203,2.5,-4.291411447,Saturday,Winter
1987-01-25,det,61,-6.948529412,4.0,-7.126617697,Sunday,Winter
1987-01-26,det,50,-4.86440678,14.0,-9.845017697,Monday,Winter
1987-01-27,det,65,17.515171914,11.5,-10.04677395,Tuesday,Winter
1987-01-28,det,71,7.1355932203,25.5,-11.9050552,Wednesday,Winter
1987-01-29,det,52,-1.948529412,28.0,-11.45742992,Thursday,Winter
1987-01-30,det,50,-20.86440678,31.5,-8.96756576,Friday,Winter
1987-01-31,det,51,-23.02112676,28.0,-0.50442201,Saturday,Winter
1987-02-01,det,69,13.13559322,33.5,-10.05067826,Sunday,Winter
1987-02-02,det,66,6.0151719138,31.5,-13.62919701,Monday,Winter
1987-02-03,det,56,-9.86440678,36.0,-7.816836447,Tuesday,Winter
