date,city,death,pm10,tempF,o3,dow,season
1987-01-01,la,184,NA,54.5,-15.89619443,Thursday,Winter
1987-01-02,la,190,NA,58.5,-11.19102475,Friday,Winter
1987-01-03,la,175,9.0073891626000009,55.25,-10.51786571,Saturday,Winter
1987-01-04,la,171,NA,54.75,-18.27014148,Sunday,Winter
1987-01-05,la,162,NA,54.5,-17.13201248,Monday,Winter
1987-01-06,la,174,NA,49.75,-22.74711245,Tuesday,Winter
1987-01-07,la,145,NA,53.5,-18.4067547,Wednesday,Winter
1987-01-08,la,187,NA,52.5,-17.55168223,Thursday,Winter
1987-01-09,la,183,13.086206897,54.0,-17.40585767,Friday,Winter
1987-01-10,la,173,11.928571429,56.0,-13.83901776,Saturday,Winter
1987-01-11,la,158,NA,61.5,-14.05770569,Sunday,Winter
1987-01-12,la,185,NA,61.5,-18.3744553,Monday,Winter
1987-01-13,la,170,NA,55.75,-21.00782089,Tuesday,Winter
1987-01-14,la,174,NA,56.25,-17.48446964,Wednesday,Winter
1987-01-15,la,180,-20.99261084,51.5,-14.20192741,Thursday,Winter
1987-01-16,la,179,NA,47.0,-13.33511374,Friday,Winter
1987-01-17,la,170,NA,44.75,-16.71846668,Saturday,Winter
1987-01-18,la,196,NA,49.25,-15.58129946,Sunday,Winter
1987-01-19,la,177,NA,51.0,-13.22228138,Monday,Winter
1987-01-20,la,162,NA,54.0,-13.90962763,Tuesday,Winter
1987-01-21,la,163,40.007389163,50.75,-18.69329588,Wednesday,Winter
1987-01-22,la,166,NA,52.25,-20.60990632,Thursday,Winter
1987-01-23,la,166,NA,53.5,-20.53786873,Friday,Winter
1987-01-24,la,179,NA,54.25,-14.52749773,Saturday,Winter
1987-01-25,la,164,NA,60.0,-9.657932509,Sunday,Winter
1987-01-26,la,184,NA,67.25,-16.73765116,Monday,Winter
1987-01-27,la,173,63.448275862,60.5,-22.82330185,Tuesday,Winter
1987-01-28,la,180,NA,58.5,-17.69092283,Wednesday,Winter
1987-01-29,la,172,NA,55.5,-18.6309022,Thursday,Winter
1987-01-30,la,190,NA,54.75,-18.62326044,Friday,Winter
