date,city,death,pm10,tempF,o3,dow,season
1987-01-01,ny,222,NA,34.5,-13.94784635,Thursday,Winter
1987-01-02,ny,246,NA,36.5,-9.072846348,Friday,Winter
1987-01-03,ny,214,-17.10315342,35.75,-6.874688816,Saturday,Winter
1987-01-04,ny,208,NA,30.25,-9.695625863,Sunday,Winter
1987-01-05,ny,228,NA,31.75,-11.23729253,Monday,Winter
1987-01-06,ny,245,NA,33.25,-15.63534635,Tuesday,Winter
1987-01-07,ny,236,NA,42.0,-15.95328113,Wednesday,Winter
1987-01-08,ny,224,NA,35.25,-6.653097907,Thursday,Winter
1987-01-09,ny,202,1.4561327231,36.25,-17.39168693,Friday,Winter
1987-01-10,ny,209,NA,38.5,-17.28117968,Saturday,Winter
1987-01-11,ny,226,NA,38.0,-12.88534635,Sunday,Winter
1987-01-12,ny,224,NA,37.0,-11.14552215,Monday,Winter
1987-01-13,ny,224,NA,39.5,-6.301319251,Tuesday,Winter
1987-01-14,ny,239,NA,41.0,-15.17701301,Wednesday,Winter
1987-01-15,ny,226,5.0433816425,49.75,-17.44784635,Thursday,Winter
1987-01-16,ny,238,NA,39.5,-9.374688816,Friday,Winter
1987-01-17,ny,216,NA,27.25,-3.103855483,Saturday,Winter
1987-01-18,ny,208,NA,32.25,-13.8414592,Sunday,Winter
1987-01-19,ny,218,NA,34.75,-15.39552215,Monday,Winter
1987-01-20,ny,240,NA,31.0,-13.54497867,Tuesday,Winter
1987-01-21,ny,231,4.7061327231,35.0,-14.44784635,Wednesday,Winter
1987-01-22,ny,221,NA,32.0,-13.22885548,Thursday,Winter
1987-01-23,ny,233,NA,27.25,-6.42994244,Friday,Winter
1987-01-24,ny,235,NA,15.5,-4.02052215,Saturday,Winter
1987-01-25,ny,218,NA,18.0,-12.64552215,Sunday,Winter
1987-01-26,ny,236,NA,21.5,-5.916355483,Monday,Winter
1987-01-27,ny,226,1.7211327231,18.0,-9.83302215,Tuesday,Winter
1987-01-28,ny,230,NA,22.5,-12.57284635,Wednesday,Winter
1987-01-29,ny,226,NA,30.0,-14.69595241,Thursday,Winter
1987-01-30,ny,219,NA,34.5,-15.28842889,Friday,Winter
1987-01-31,ny,235,NA,34.0,-12.50336529,Saturday,Winter
1987-02-01,ny,189,NA,31.75,-4.77052215,Sunday,Winter
1987-02-02,ny,234,31.706132723,39.0,-14.16784809,Monday,Winter
1987-02-03,ny,260,NA,43.25,-14.44784635,Tuesday,Winter
1987-02-04,ny,226,NA,38.5,-7.486431241,Wednesday,Winter
1987-02-05,ny,225,NA,29.0,-2.681236435,Thursday,Winter
1987-02-06,ny,213,NA,37.75,-13.77503324,Friday,Winter
1987-02-07,ny,215,NA,41.5,-10.14101106,Saturday,Winter
1987-02-08,ny,214,-3.624736842,37.25,-9.191699902,Sunday,Winter
1987-02-09,ny,223,NA,29.75,-5.171657078,Monday,Winter
1987-02-10,ny,208,NA,27.75,-7.613819251,Tuesday,Winter
