date,city,death,pm10,tempF,o3,dow,season
1987-01-01,salt,8,27.130525716,29.5,-16.50620953,Thursday,Winter
1987-01-02,salt,18,-21.12365931,34.0,-10.56146315,Friday,Winter
1987-01-03,salt,12,-20.66599042,37.0,-12.81870953,Saturday,Winter
1987-01-04,salt,15,-19.04731861,42.5,4.2614186794,Sunday,Winter
1987-01-05,salt,8,-28.36947428,35.0,-11.45759841,Monday,Winter
1987-01-06,salt,12,-13.04731861,29.5,-5.390454964,Tuesday,Winter
1987-01-07,salt,9,3.130525716,25.5,-10.30349844,Wednesday,Winter
1987-01-08,salt,7,4.376340694,22.0,-11.91944047,Thursday,Winter
1987-01-09,salt,5,-2.047318612,20.0,-12.56436801,Friday,Winter
1987-01-10,salt,8,19.952681388,17.5,-7.877773805,Saturday,Winter
1987-01-11,salt,9,42.130525716,20.5,-5.086107138,Sunday,Winter
1987-01-12,salt,10,55.952681388,19.5,-14.6277738,Monday,Winter
1987-01-13,salt,5,25.630525716,23.5,-15.91291242,Tuesday,Winter
1987-01-14,salt,7,-5.123659306,22.5,-12.12215155,Wednesday,Winter
1987-01-15,salt,6,-12.86947428,21.0,-2.601318221,Thursday,Winter
1987-01-16,salt,14,-11.04731861,17.5,-5.235376192,Friday,Winter
1987-01-17,salt,15,10.308370044,14.0,-11.36037619,Saturday,Winter
1987-01-18,salt,10,16.952681388,19.5,-10.98537619,Sunday,Winter
1987-01-19,salt,8,-10.36947428,23.5,-9.902042859,Monday,Winter
1987-01-20,salt,8,10.952681388,16.0,-11.33575498,Tuesday,Winter
1987-01-21,salt,8,39.079824561,17.5,-11.86037619,Wednesday,Winter
1987-01-22,salt,13,25.952681388,19.5,-13.6701588,Thursday,Winter
1987-01-23,salt,10,49.130525716,22.5,-15.58954286,Friday,Winter
1987-01-24,salt,6,9.952681388,30.0,-14.04787619,Saturday,Winter
1987-01-25,salt,12,-10.86947428,39.0,-15.31870953,Sunday,Winter
1987-01-26,salt,6,11.376340694,37.5,-13.19370953,Monday,Winter
1987-01-27,salt,7,26.308370044,34.0,-17.10436015,Tuesday,Winter
1987-01-28,salt,7,NA,39.0,-1.926165666,Wednesday,Winter
1987-01-29,salt,9,10.130525716,29.0,-13.053454,Thursday,Winter
1987-01-30,salt,5,28.952681388,36.0,-13.67287619,Friday,Winter
1987-01-31,salt,14,31.130525716,35.5,-10.06870953,Saturday,Winter
1987-02-01,salt,9,13.876340694,42.5,-9.733564598,Sunday,Winter
1987-02-02,salt,15,22.359649123,40.5,-17.50620953,Monday,Winter
1987-02-03,salt,14,-2.047318612,39.5,-15.71454286,Tuesday,Winter
1987-02-04,salt,8,-22.86947428,36.5,-9.652042859,Wednesday,Winter
1987-02-05,salt,14,-3.047318612,35.0,-10.38120953,Thursday,Winter
1987-02-06,salt,8,31.130525716,36.0,-9.902042859,Friday,Winter
1987-02-07,salt,8,41.952681388,33.5,-11.04787619,Saturday,Winter
1987-02-08,salt,9,55.952681388,35.0,-10.15204286,Sunday,Winter
1987-02-09,salt,13,70.952681388,34.5,-14.25983271,Monday,Winter
1987-02-10,salt,13,71.630525716,44.0,-11.8576588,Tuesday,Winter
1987-02-11,salt,9,9.952681388,44.5,-9.930122569,Wednesday,Winter
1987-02-12,salt,5,12.630525716,40.0,-15.90294866,Thursday,Winter
1987-02-13,salt,8,-23.04731861,42.0,-9.610376192,Friday,Winter
1987-02-14,salt,9,-23.04731861,34.5,-7.422876192,Saturday,Winter
1987-02-15,salt,5,-20.04731861,33.5,-8.714542859,Sunday,Winter
1987-02-16,salt,9,-29.86947428,36.5,-8.738352383,Monday,Winter
1987-02-17,salt,7,-24.04731861,36.5,-8.308498722,Tuesday,Winter
1987-02-18,salt,6,-17.36947428,36.0,-8.017984888,Wednesday,Winter
1987-02-19,salt,7,24.376340694,33.0,-1.543347207,Thursday,Winter
1987-02-20,salt,7,-15.04731861,33.0,-0.589542859,Friday,Winter
1987-02-21,salt,13,NA,33.0,-5.943709526,Saturday,Winter
1987-02-22,salt,11,-8.369474284,34.5,-4.068709526,Sunday,Winter
1987-02-23,salt,4,-15.04731861,36.5,7.8407107641,Monday,Winter
1987-02-24,salt,10,-23.86947428,37.0,9.9602759815,Tuesday,Winter
1987-02-25,salt,10,-19.04731861,30.0,0.9919788801,Wednesday,Winter
1987-02-26,salt,12,-8.640350877,31.0,-3.464542859,Thursday,Winter
1987-02-27,salt,10,-13.04731861,29.5,-5.902042859,Friday,Winter
1987-02-28,salt,4,-13.86947428,35.0,-4.381209526,Saturday,Winter
1987-03-01,salt,9,5.376340694,31.0,-5.756209526,Sunday,Winter
1987-03-02,salt,13,-8.369474284,45.5,-8.685557352,Monday,Winter
1987-03-03,salt,11,1.952681388,47.0,-8.663818221,Tuesday,Winter
1987-03-04,salt,9,-7.047318612,52.5,-6.011644308,Wednesday,Winter
1987-03-05,salt,13,-13.04731861,58.0,-3.077163632,Thursday,Winter
