date,city,death,pm10,tempF,o3,dow,season
1987-01-01,seat,29,-26.59195402,45.0,NA,Thursday,Winter
1987-01-02,seat,17,-17.59195402,46.0,NA,Friday,Winter
1987-01-03,seat,23,-24.04176245,46.0,NA,Saturday,Winter
1987-01-04,seat,34,14.265969891,42.5,NA,Sunday,Winter
1987-01-05,seat,27,16.408045977,37.0,NA,Monday,Winter
1987-01-06,seat,16,34.408045977,33.0,NA,Tuesday,Winter
1987-01-07,seat,30,73.408045977,31.5,NA,Wednesday,Winter
1987-01-08,seat,27,79.408045977,33.5,NA,Thursday,Winter
1987-01-09,seat,29,32.902681992,37.5,NA,Friday,Winter
1987-01-10,seat,30,3.408045977,44.5,NA,Saturday,Winter
1987-01-11,seat,31,-16.59195402,53.0,NA,Sunday,Winter
1987-01-12,seat,28,-22.23403011,45.0,NA,Monday,Winter
1987-01-13,seat,28,-18.59195402,37.0,NA,Tuesday,Winter
1987-01-14,seat,25,-17.59195402,36.5,NA,Wednesday,Winter
1987-01-15,seat,23,17.051663106,30.5,NA,Thursday,Winter
1987-01-16,seat,37,24.408045977,32.0,NA,Friday,Winter
1987-01-17,seat,17,26.408045977,37.0,NA,Saturday,Winter
1987-01-18,seat,31,-4.234030109,37.0,NA,Sunday,Winter
1987-01-19,seat,35,10.408045977,37.5,NA,Monday,Winter
1987-01-20,seat,26,NA,38.0,NA,Tuesday,Winter
1987-01-21,seat,35,79.988871473,35.0,NA,Wednesday,Winter
1987-01-22,seat,29,119.40804598,38.5,NA,Thursday,Winter
1987-01-23,seat,32,5.408045977,43.0,NA,Friday,Winter
1987-01-24,seat,25,-20.73403011,43.0,NA,Saturday,Winter
1987-01-25,seat,24,-13.59195402,43.5,NA,Sunday,Winter
1987-01-26,seat,24,-1.591954023,43.5,NA,Monday,Winter
1987-01-27,seat,28,-8.261128527,47.5,NA,Tuesday,Winter
1987-01-28,seat,25,-17.59195402,44.0,NA,Wednesday,Winter
1987-01-29,seat,26,-6.591954023,47.5,NA,Thursday,Winter
1987-01-30,seat,13,-15.73403011,45.5,NA,Friday,Winter
1987-01-31,seat,35,-25.59195402,42.5,NA,Saturday,Winter
1987-02-01,seat,29,-15.59195402,46.5,NA,Sunday,Winter
1987-02-02,seat,29,0.2790229885,41.5,NA,Monday,Winter
1987-02-03,seat,24,1.408045977,47.5,NA,Tuesday,Winter
1987-02-04,seat,30,-3.591954023,50.0,NA,Wednesday,Winter
1987-02-05,seat,20,44.265969891,51.0,NA,Thursday,Winter
1987-02-06,seat,27,114.40804598,46.0,NA,Friday,Winter
1987-02-07,seat,24,104.40804598,43.5,NA,Saturday,Winter
1987-02-08,seat,30,70.638871473,52.5,NA,Sunday,Winter
1987-02-09,seat,27,61.408045977,54.5,NA,Monday,Winter
1987-02-10,seat,19,39.408045977,54.5,NA,Tuesday,Winter
1987-02-11,seat,34,-0.234030109,52.5,NA,Wednesday,Winter
1987-02-12,seat,21,24.408045977,53.5,NA,Thursday,Winter
1987-02-13,seat,25,-6.591954023,49.0,NA,Friday,Winter
1987-02-14,seat,22,-18.18216657,46.5,NA,Saturday,Winter
1987-02-15,seat,27,-27.59195402,49.0,NA,Sunday,Winter
1987-02-16,seat,24,-23.59195402,46.0,NA,Monday,Winter
1987-02-17,seat,20,-4.876106195,43.0,NA,Tuesday,Winter
1987-02-18,seat,31,9.408045977,41.0,NA,Wednesday,Winter
1987-02-19,seat,34,13.408045977,45.5,NA,Thursday,Winter
1987-02-20,seat,22,14.301663106,46.5,NA,Friday,Winter
1987-02-21,seat,24,-7.591954023,42.5,NA,Saturday,Winter
1987-02-22,seat,24,-20.59195402,41.0,NA,Sunday,Winter
1987-02-23,seat,25,-5.591954023,44.5,NA,Monday,Winter
1987-02-24,seat,21,-0.591954023,43.0,NA,Tuesday,Winter
1987-02-25,seat,28,21.408045977,40.5,NA,Wednesday,Winter
1987-02-26,seat,26,8.1158219362,41.5,NA,Thursday,Winter
1987-02-27,seat,25,-10.59195402,43.5,NA,Friday,Winter
1987-02-28,seat,24,-21.59195402,40.0,NA,Saturday,Winter
1987-03-01,seat,31,-21.73403011,42.0,NA,Sunday,Winter
1987-03-02,seat,35,-17.59195402,47.0,NA,Monday,Winter
1987-03-03,seat,38,-15.59195402,52.0,NA,Tuesday,Winter
1987-03-04,seat,27,2.3658219362,59.5,NA,Wednesday,Winter
1987-03-05,seat,33,-0.591954023,51.5,NA,Thursday,Winter
1987-03-06,seat,25,-7.591954023,47.0,NA,Friday,Winter
1987-03-07,seat,26,-4.234030109,47.0,NA,Saturday,Winter
1987-03-08,seat,23,-12.59195402,47.5,NA,Sunday,Winter
1987-03-09,seat,23,-8.591954023,47.5,NA,Monday,Winter
1987-03-10,seat,24,-13.63417806,52.0,NA,Tuesday,Winter
1987-03-11,seat,25,-6.591954023,51.0,NA,Wednesday,Winter
1987-03-12,seat,22,-6.591954023,52.0,NA,Thursday,Winter
